date,scientist,rep,primary,primary_dose,secondary,secondary_dose,condition,vial,day,hour,status
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,14,1.25,30,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,14,1.25,30,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,14,1.416666667,34,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,14,1.5,36,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,14,1.5,36,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,14,1.583333333,38,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,14,1.666666667,40,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,15,1.083333333,26,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,15,1.25,30,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,15,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,15,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,15,1.5,36,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,15,1.5,36,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,15,1.5,36,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,15,1.583333333,38,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,15,1.833333333,44,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,1,P.snee,0.01,S.m 1.0,16,0.583333333,14,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,1,P.snee,0.01,S.m 1.0,16,0.666666667,16,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,1,P.snee,0.01,S.m 1.0,16,1,24,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,1,P.snee,0.01,S.m 1.0,16,1.166666667,28,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,1,P.snee,0.01,S.m 1.0,16,1.25,30,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,1,P.snee,0.01,S.m 1.0,16,1.25,30,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,1,P.snee,0.01,S.m 1.0,16,1.25,30,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,1,P.snee,0.01,S.m 1.0,16,1.416666667,34,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,1,P.snee,0.01,S.m 1.0,16,1.416666667,34,1
