date,replicate,scientist,primary,secondary_dose,time,load
6/5/2019,II,Abby,02_Efae,0.1,0,1666
6/5/2019,II,Abby,02_Efae,0.1,10,336000
6/5/2019,II,Abby,02_Efae,0.1,10,787000
6/5/2019,II,Abby,02_Efae,0.1,10,613000
6/5/2019,II,Abby,02_Efae,0.1,10,338000
6/5/2019,II,Abby,02_Efae,0.1,10,18000
6/5/2019,II,Abby,02_Efae,1,0,9444
6/5/2019,II,Abby,02_Efae,1,10,11296000
6/5/2019,II,Abby,02_Efae,1,10,1072000
6/5/2019,II,Abby,02_Efae,1,10,3722000
6/5/2019,II,Abby,02_Efae,1,10,2234000
6/5/2019,II,Abby,02_Efae,1,10,2992000
6/11/2019,III,Abby,01_PBS,0.01,0,230
6/11/2019,III,Abby,01_PBS,0.01,10,13148
6/11/2019,III,Abby,01_PBS,0.01,10,11296
6/11/2019,III,Abby,01_PBS,0.01,10,19444
6/11/2019,III,Abby,01_PBS,0.01,10,22777
6/11/2019,III,Abby,01_PBS,0.01,10,9814
6/11/2019,III,Abby,01_PBS,0.01,10,6666
6/11/2019,III,Abby,01_PBS,0.1,0,2197
6/11/2019,III,Abby,01_PBS,0.1,10,12773
6/11/2019,III,Abby,01_PBS,0.1,10,15000
6/11/2019,III,Abby,01_PBS,0.1,10,14259
6/11/2019,III,Abby,01_PBS,0.1,10,12592
6/11/2019,III,Abby,01_PBS,0.1,10,18102
6/11/2019,III,Abby,01_PBS,0.1,10,6788
6/11/2019,III,Abby,01_PBS,1,0,12222
6/11/2019,III,Abby,01_PBS,1,10,1310000
6/11/2019,III,Abby,01_PBS,1,10,1280000
6/11/2019,III,Abby,01_PBS,1,10,796000
6/11/2019,III,Abby,01_PBS,1,10,944000
6/11/2019,III,Abby,01_PBS,1,10,1130000
6/11/2019,III,Abby,01_PBS,1,10,1130000
6/11/2019,III,Abby,02_Efae,0.01,0,264
6/11/2019,III,Abby,02_Efae,0.01,10,1111
6/11/2019,III,Abby,02_Efae,0.01,10,1481
6/11/2019,III,Abby,02_Efae,0.01,10,941
6/11/2019,III,Abby,02_Efae,0.01,10,1148
6/11/2019,III,Abby,02_Efae,0.01,10,925
6/11/2019,III,Abby,02_Efae,0.1,0,2700
6/11/2019,III,Abby,02_Efae,0.1,10,1203
6/11/2019,III,Abby,02_Efae,0.1,10,1370
6/11/2019,III,Abby,02_Efae,0.1,10,1574
6/11/2019,III,Abby,02_Efae,0.1,10,2592
6/11/2019,III,Abby,02_Efae,0.1,10,2777
6/11/2019,III,Abby,02_Efae,1,0,11666
6/11/2019,III,Abby,02_Efae,1,10,101000
6/11/2019,III,Abby,02_Efae,1,10,7800
6/11/2019,III,Abby,02_Efae,1,10,144000
6/11/2019,III,Abby,02_Efae,1,10,330000
6/11/2019,III,Abby,02_Efae,1,10,5600
6/11/2019,III,Abby,02_Efae,1,10,239000
7/1/2019,IV,Abby,01_PBS,0.01,0,252
7/1/2019,IV,Abby,01_PBS,0.01,10,2765
7/1/2019,IV,Abby,01_PBS,0.01,10,14814
7/1/2019,IV,Abby,01_PBS,0.01,10,21296
7/1/2019,IV,Abby,01_PBS,0.01,10,21481
7/1/2019,IV,Abby,01_PBS,0.01,10,17592
7/1/2019,IV,Abby,01_PBS,0.01,10,22407
7/1/2019,IV,Abby,01_PBS,0.1,0,3138
7/1/2019,IV,Abby,01_PBS,0.1,10,197000
7/1/2019,IV,Abby,01_PBS,0.1,10,985000
7/1/2019,IV,Abby,01_PBS,0.1,10,985000
7/1/2019,IV,Abby,01_PBS,0.1,10,384000
7/1/2019,IV,Abby,01_PBS,0.1,10,244000
7/1/2019,IV,Abby,01_PBS,1,0,11481
7/1/2019,IV,Abby,01_PBS,1,10,2080000
7/1/2019,IV,Abby,01_PBS,1,10,10200000
7/1/2019,IV,Abby,01_PBS,1,10,7300000
7/1/2019,IV,Abby,01_PBS,1,10,2850000
7/1/2019,IV,Abby,01_PBS,1,10,3650000
7/1/2019,IV,Abby,01_PBS,1,10,6930000
7/1/2019,IV,Abby,02_Efae,0.01,0,208
7/1/2019,IV,Abby,02_Efae,0.01,10,18518
7/1/2019,IV,Abby,02_Efae,0.01,10,14444
7/1/2019,IV,Abby,02_Efae,0.01,10,7518
7/1/2019,IV,Abby,02_Efae,0.01,10,19629
7/1/2019,IV,Abby,02_Efae,0.1,0,2537
7/1/2019,IV,Abby,02_Efae,0.1,10,1230000
7/1/2019,IV,Abby,02_Efae,0.1,10,653000
7/1/2019,IV,Abby,02_Efae,0.1,10,720000
7/1/2019,IV,Abby,02_Efae,0.1,10,34000
7/1/2019,IV,Abby,02_Efae,1,0,11021
7/1/2019,IV,Abby,02_Efae,1,10,5260000
7/1/2019,IV,Abby,02_Efae,1,10,6670000
7/1/2019,IV,Abby,02_Efae,1,10,1180000
7/1/2019,IV,Abby,02_Efae,1,10,6130000
7/3/2019,V,Abby,01_PBS,0.01,0,336
7/3/2019,V,Abby,01_PBS,0.01,10,11296
7/3/2019,V,Abby,01_PBS,0.01,10,19259
7/3/2019,V,Abby,01_PBS,0.01,10,18888
7/3/2019,V,Abby,01_PBS,0.01,10,15555
7/3/2019,V,Abby,01_PBS,0.1,0,2272
7/3/2019,V,Abby,01_PBS,0.1,10,8800000
7/3/2019,V,Abby,01_PBS,0.1,10,9200000
7/3/2019,V,Abby,01_PBS,0.1,10,10300000
7/3/2019,V,Abby,01_PBS,0.1,10,8530000
7/3/2019,V,Abby,01_PBS,0.1,10,11200000
7/3/2019,V,Abby,01_PBS,1,0,9259
7/3/2019,V,Abby,01_PBS,1,10,19700000
