,date,scientist,rep,primary,secondary_dose,vial,day,status
312,6/14/2019,Abby,I,S.m,0.1,18,7,0
313,6/14/2019,Abby,I,S.m,0.1,18,7,0
314,6/14/2019,Abby,I,S.m,0.1,18,7,0
315,6/14/2019,Abby,I,S.m,0.1,18,7,0
316,6/14/2019,Abby,I,S.m,0.1,18,7,0
317,6/14/2019,Abby,I,S.m,0.1,18,7,0
318,6/14/2019,Abby,I,S.m,0.1,18,7,0
319,6/14/2019,Abby,I,S.m,1,19,4,1
320,6/14/2019,Abby,I,S.m,1,19,7,1
321,6/14/2019,Abby,I,S.m,1,19,7,0
322,6/14/2019,Abby,I,S.m,1,19,7,0
323,6/14/2019,Abby,I,S.m,1,19,7,0
324,6/14/2019,Abby,I,S.m,1,19,7,0
325,6/14/2019,Abby,I,S.m,1,20,7,0
326,6/14/2019,Abby,I,S.m,1,20,7,0
327,6/14/2019,Abby,I,S.m,1,20,7,0
328,6/14/2019,Abby,I,S.m,1,20,7,0
329,6/14/2019,Abby,I,S.m,1,20,7,0
330,6/14/2019,Abby,I,S.m,1,20,7,0
331,6/14/2019,Abby,I,S.m,1,21,2,1
332,6/14/2019,Abby,I,S.m,1,21,7,0
333,6/14/2019,Abby,I,S.m,1,21,7,0
334,6/14/2019,Abby,I,S.m,1,21,7,0
335,6/14/2019,Abby,I,S.m,1,21,7,0
336,6/14/2019,Abby,I,S.m,2,22,1,1
337,6/14/2019,Abby,I,S.m,2,22,5,1
338,6/14/2019,Abby,I,S.m,2,22,7,0
339,6/14/2019,Abby,I,S.m,2,22,7,0
340,6/14/2019,Abby,I,S.m,2,22,7,0
341,6/14/2019,Abby,I,S.m,2,23,1,1
342,6/14/2019,Abby,I,S.m,2,23,7,0
343,6/14/2019,Abby,I,S.m,2,23,7,0
344,6/14/2019,Abby,I,S.m,2,23,7,0
345,6/14/2019,Abby,I,S.m,2,23,7,0
346,6/14/2019,Abby,I,S.m,2,23,7,0
347,6/14/2019,Abby,I,S.m,2,24,1,1
348,6/14/2019,Abby,I,S.m,2,24,3,1
349,6/14/2019,Abby,I,S.m,2,24,7,0
350,6/14/2019,Abby,I,S.m,2,24,7,0
351,6/14/2019,Abby,I,S.m,2,24,7,0
352,6/14/2019,Abby,I,S.m,2,24,7,0
353,6/14/2019,Abby,I,S.m,2,24,7,0
354,6/17/2019,Abby,II,PBS,0.01,1,1,1
355,6/17/2019,Abby,II,PBS,0.01,1,2,1
356,6/17/2019,Abby,II,PBS,0.01,1,2,1
357,6/17/2019,Abby,II,PBS,0.01,1,5,1
358,6/17/2019,Abby,II,PBS,0.01,1,7,0
359,6/17/2019,Abby,II,PBS,0.01,2,1,1
360,6/17/2019,Abby,II,PBS,0.01,2,1,1
361,6/17/2019,Abby,II,PBS,0.01,2,2,1
362,6/17/2019,Abby,II,PBS,0.01,2,7,0
363,6/17/2019,Abby,II,PBS,0.01,2,7,0
364,6/17/2019,Abby,II,PBS,0.01,2,7,0
365,6/17/2019,Abby,II,PBS,0.01,3,1,1
366,6/17/2019,Abby,II,PBS,0.01,3,2,1
367,6/17/2019,Abby,II,PBS,0.01,3,3,1
368,6/17/2019,Abby,II,PBS,0.01,3,7,0
369,6/17/2019,Abby,II,PBS,0.1,4,1,1
370,6/17/2019,Abby,II,PBS,0.1,4,2,1
371,6/17/2019,Abby,II,PBS,0.1,4,2,1
372,6/17/2019,Abby,II,PBS,0.1,4,7,0
373,6/17/2019,Abby,II,PBS,0.1,4,7,0
374,6/17/2019,Abby,II,PBS,0.1,4,7,0
375,6/17/2019,Abby,II,PBS,0.1,5,1,1
376,6/17/2019,Abby,II,PBS,0.1,5,1,1
377,6/17/2019,Abby,II,PBS,0.1,5,2,1
378,6/17/2019,Abby,II,PBS,0.1,5,7,0
379,6/17/2019,Abby,II,PBS,0.1,5,7,0
380,6/17/2019,Abby,II,PBS,0.1,5,7,0
381,6/17/2019,Abby,II,PBS,0.1,6,1,1
382,6/17/2019,Abby,II,PBS,0.1,6,2,1
383,6/17/2019,Abby,II,PBS,0.1,6,5,1
384,6/17/2019,Abby,II,PBS,0.1,6,7,0
385,6/17/2019,Abby,II,PBS,0.1,6,7,0
386,6/17/2019,Abby,II,PBS,0.1,6,7,0
387,6/17/2019,Abby,II,PBS,0.1,6,7,0
388,6/17/2019,Abby,II,PBS,1,7,1,1
389,6/17/2019,Abby,II,PBS,1,7,1,1
390,6/17/2019,Abby,II,PBS,1,7,1,1
391,6/17/2019,Abby,II,PBS,1,7,1,1
392,6/17/2019,Abby,II,PBS,1,7,1,1
393,6/17/2019,Abby,II,PBS,1,7,7,0
394,6/17/2019,Abby,II,PBS,1,8,1,1
395,6/17/2019,Abby,II,PBS,1,8,1,1
396,6/17/2019,Abby,II,PBS,1,8,1,1
397,6/17/2019,Abby,II,PBS,1,8,1,1
398,6/17/2019,Abby,II,PBS,1,8,2,1
399,6/17/2019,Abby,II,PBS,1,9,1,1
400,6/17/2019,Abby,II,PBS,1,9,1,1
401,6/17/2019,Abby,II,PBS,1,9,1,1
402,6/17/2019,Abby,II,PBS,1,9,1,1
403,6/17/2019,Abby,II,PBS,1,9,1,1
404,6/17/2019,Abby,II,PBS,1,9,1,1
405,6/17/2019,Abby,II,PBS,2,10,1,1
406,6/17/2019,Abby,II,PBS,2,10,1,1
407,6/17/2019,Abby,II,PBS,2,10,1,1
408,6/17/2019,Abby,II,PBS,2,10,1,1
409,6/17/2019,Abby,II,PBS,2,10,1,1
410,6/17/2019,Abby,II,PBS,2,11,1,1
411,6/17/2019,Abby,II,PBS,2,11,1,1
412,6/17/2019,Abby,II,PBS,2,11,1,1
413,6/17/2019,Abby,II,PBS,2,11,1,1
414,6/17/2019,Abby,II,PBS,2,11,1,1
415,6/17/2019,Abby,II,PBS,2,11,1,1
416,6/17/2019,Abby,II,PBS,2,12,1,1
417,6/17/2019,Abby,II,PBS,2,12,1,1
418,6/17/2019,Abby,II,PBS,2,12,1,1
419,6/17/2019,Abby,II,PBS,2,12,1,1
420,6/17/2019,Abby,II,PBS,2,12,1,1
421,6/17/2019,Abby,II,PBS,2,12,1,1
422,6/17/2019,Abby,II,S.m,0.01,13,2,1
423,6/17/2019,Abby,II,S.m,0.01,13,7,0
424,6/17/2019,Abby,II,S.m,0.01,13,7,0
425,6/17/2019,Abby,II,S.m,0.01,13,7,0
426,6/17/2019,Abby,II,S.m,0.01,13,7,0
427,6/17/2019,Abby,II,S.m,0.01,14,1,1
428,6/17/2019,Abby,II,S.m,0.01,14,1,1
429,6/17/2019,Abby,II,S.m,0.01,14,2,1
430,6/17/2019,Abby,II,S.m,0.01,14,2,1
431,6/17/2019,Abby,II,S.m,0.01,14,7,0
432,6/17/2019,Abby,II,S.m,0.01,14,7,0
433,6/17/2019,Abby,II,S.m,0.01,15,2,1
434,6/17/2019,Abby,II,S.m,0.01,15,2,1
435,6/17/2019,Abby,II,S.m,0.01,15,2,1
436,6/17/2019,Abby,II,S.m,0.01,15,7,0
437,6/17/2019,Abby,II,S.m,0.01,15,7,0
438,6/17/2019,Abby,II,S.m,0.01,15,7,0
439,6/17/2019,Abby,II,S.m,0.01,15,7,0
440,6/17/2019,Abby,II,S.m,0.1,16,4,1
441,6/17/2019,Abby,II,S.m,0.1,16,5,1
442,6/17/2019,Abby,II,S.m,0.1,16,7,0
443,6/17/2019,Abby,II,S.m,0.1,16,7,0
444,6/17/2019,Abby,II,S.m,0.1,17,2,1
445,6/17/2019,Abby,II,S.m,0.1,17,4,1
446,6/17/2019,Abby,II,S.m,0.1,17,7,0
447,6/17/2019,Abby,II,S.m,0.1,17,7,0
448,6/17/2019,Abby,II,S.m,0.1,18,1,1
449,6/17/2019,Abby,II,S.m,0.1,18,6,0
450,6/17/2019,Abby,II,S.m,0.1,18,7,0
451,6/17/2019,Abby,II,S.m,0.1,18,7,0
452,6/17/2019,Abby,II,S.m,0.1,18,7,0
453,6/17/2019,Abby,II,S.m,1,19,2,1
454,6/17/2019,Abby,II,S.m,1,19,4,1
455,6/17/2019,Abby,II,S.m,1,19,7,0
456,6/17/2019,Abby,II,S.m,1,19,7,0
457,6/17/2019,Abby,II,S.m,1,19,7,0
458,6/17/2019,Abby,II,S.m,1,19,7,0
459,6/17/2019,Abby,II,S.m,1,20,2,1
460,6/17/2019,Abby,II,S.m,1,20,7,0
461,6/17/2019,Abby,II,S.m,1,20,7,0
462,6/17/2019,Abby,II,S.m,1,20,7,0
463,6/17/2019,Abby,II,S.m,1,21,1,1
464,6/17/2019,Abby,II,S.m,1,21,1,1
465,6/17/2019,Abby,II,S.m,1,21,1,1
466,6/17/2019,Abby,II,S.m,1,21,7,0
467,6/17/2019,Abby,II,S.m,1,21,7,0
468,6/17/2019,Abby,II,S.m,1,21,7,0
469,6/17/2019,Abby,II,S.m,2,22,1,1
