date,scientist,rep,primary,secondary,secondary_dose,condition,vial,day,hour,status,alive3,opposite
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,1,4,12,1,24,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,1,4,12,1,24,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,1,4,12,1,24,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,1,4,12,1.083333,26,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,PBS,0,s.m Control,C3,1.166667,28,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,PBS,0,s.m Control,C3,4.958333,119,1,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,S.m,PBS,0,s.m Control,C3,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,S.m,PBS,0,s.m Control,C3,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,S.m,PBS,0,s.m Control,C3,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,S.m,PBS,0,s.m Control,C3,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,S.m,PBS,0,s.m Control,C3,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,S.m,PBS,0,s.m Control,C3,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,S.m,PBS,0,s.m Control,C3,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,S.m,PBS,0,s.m Control,C3,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,S.m,PBS,0,s.m Control,C4,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,S.m,PBS,0,s.m Control,C4,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,S.m,PBS,0,s.m Control,C4,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,S.m,PBS,0,s.m Control,C4,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,S.m,PBS,0,s.m Control,C4,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,S.m,PBS,0,s.m Control,C4,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,S.m,PBS,0,s.m Control,C4,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,S.m,PBS,0,s.m Control,C4,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,S.m,PBS,0,s.m Control,C4,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.001,5,13,1.25,30,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.001,5,13,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.001,5,13,1.833333,44,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.001,5,13,1.833333,44,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.001,5,13,3.333333,80,1,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.001,5,13,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.001,5,13,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.001,5,13,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.001,5,13,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.001,5,13,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.001,5,14,0.833333,20,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.001,5,14,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.001,5,14,1.75,42,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.001,5,14,2.166667,52,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.001,5,14,7.083333,170,1,TRUE,FALSE
